No	標準的な表記	読み	語彙の難易度	品詞1	品詞2(詳細)	語種
18196	優秀	ユウシュウ	4.中級後半	名詞	名詞-普通名詞-形状詞可能	漢語
18197	優柔不断	ユウジュウフダン	5.上級前半	名詞	名詞-普通名詞-形状詞可能 and 名詞-普通名詞-一般	漢語
18198	優勝	ユウショウ	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
18199	友情	ユウジョウ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
18200	夕食	ユウショク	2.初級後半	名詞	名詞-普通名詞-一般	混種語
18201	有色人種	ユウショクジンシュ	5.上級前半	名詞	名詞-普通名詞-一般 and 名詞-普通名詞-一般	漢語
18202	友人	ユウジン	3.中級前半	名詞	名詞-普通名詞-一般	漢語
18203	有数	ユウスウ	5.上級前半	名詞	形状詞-一般	漢語
18204	融通	ユウズウ	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
18205	夕涼み	ユウスズミ	5.上級前半	名詞	名詞-普通名詞-一般	和語
18206	ユースホステル	ユースホステル	5.上級前半	名詞	名詞-普通名詞-一般 and 名詞-普通名詞-一般	外来語
18207	有する	ユウスル	5.上級前半	動詞3類	動詞-一般	混種語
18209	優勢	ユウセイ	5.上級前半	名詞	名詞-普通名詞-形状詞可能	漢語
18208	郵政	ユウセイ	6.上級後半	名詞	名詞-普通名詞-一般	漢語
18210	郵政	ユウセイ	6.上級後半	名詞	名詞-普通名詞-一般	漢語
18211	郵政省	ユウセイショウ	6.上級後半	名詞	名詞-普通名詞-一般 and 接尾辞-名詞的-一般	漢語
18213	優先	ユウセン	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
18212	有線	ユウセン	6.上級後半	名詞	名詞-普通名詞-一般	漢語
18214	優先的	ユウセンテキ	4.中級後半	名詞	名詞-普通名詞-サ変可能 and 接尾辞-形状詞的	漢語
18215	郵送	ユウソウ	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
18216	優待	ユウタイ	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
18217	雄大	ユウダイ	5.上級前半	ナ形容詞	形状詞-一般	漢語
18218	夕立	ユウダチ	4.中級後半	名詞	名詞-普通名詞-一般	和語
18219	融点	ユウテン	5.上級前半	名詞	名詞-普通名詞-一般	漢語
18220	誘導	ユウドウ	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
18221	有毒	ユウドク	5.上級前半	名詞	名詞-普通名詞-形状詞可能	漢語
18223	有能	ユウノウ	4.中級後半	ナ形容詞	名詞-普通名詞-形状詞可能	漢語
18224	夕飯	ユウハン	2.初級後半	名詞	名詞-普通名詞-一般	混種語
18225	夕日	ユウヒ	3.中級前半	名詞	名詞-普通名詞-一般	和語
18226	郵便	ユウビン	3.中級前半	名詞	名詞-普通名詞-一般	漢語
18228	郵便受け	ユウビンウケ	4.中級後半	名詞	名詞-普通名詞-一般 and 名詞-普通名詞-一般	混種語
18229	郵便局	ユウビンキョク	1.初級前半	名詞	名詞-普通名詞-一般 and 接尾辞-名詞的-一般	漢語
18230	郵便貯金	ユウビンチョキン	4.中級後半	名詞	名詞-普通名詞-一般 and 名詞-普通名詞-サ変可能	漢語
18231	郵便番号	ユウビンバンゴウ	3.中級前半	名詞	名詞-普通名詞-一般 and 名詞-普通名詞-一般	漢語
18232	郵便物	ユウビンブツ	3.中級前半	名詞	名詞-普通名詞-一般 and 接尾辞-名詞的-一般	漢語
18233	裕福	ユウフク	5.上級前半	ナ形容詞	形状詞-一般	漢語
18234	ゆうべ	ユウベ	3.中級前半	名詞	名詞-普通名詞-副詞可能	漢語
18235	夕べ	ユウベ	3.中級前半	名詞	名詞-普通名詞-一般	和語
18236	雄弁	ユウベン	5.上級前半	名詞	名詞-普通名詞-形状詞可能	漢語
18237	有望	ユウボウ	5.上級前半	名詞	名詞-普通名詞-形状詞可能	漢語
18238	遊牧	ユウボク	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
18239	遊歩道	ユウホドウ	5.上級前半	名詞	名詞-普通名詞-サ変可能 and 接尾辞-名詞的-一般	漢語
18240	有名	ユウメイ	1.初級前半	名詞	形状詞-一般	漢語
18241	有名	ユウメイ	1.初級前半	名詞	名詞-普通名詞-形状詞可能	漢語
18242	ユーモア	ユーモア	3.中級前半	名詞	名詞-普通名詞-一般	外来語
18243	ユーモラス	ユーモラス	5.上級前半	ナ形容詞	形状詞-一般	外来語
18244	夕焼け	ユウヤケ	4.中級後半	名詞	名詞-普通名詞-一般	和語
18245	夕闇	ユウヤミ	5.上級前半	名詞	名詞-普通名詞-一般	和語
18246	悠々	ユウユウ	5.上級前半	副詞	形状詞-タリ	漢語
18247	猶予	ユウヨ	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
18249	遊覧	ユウラン	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
18250	有利	ユウリ	4.中級後半	ナ形容詞	形状詞-一般	漢語
18251	憂慮	ユウリョ	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
18252	優良	ユウリョウ	4.中級後半	名詞	形状詞-一般	漢語
18253	有料	ユウリョウ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
18254	有料道路	ユウリョウドウロ	4.中級後半	名詞	名詞-普通名詞-一般 and 名詞-普通名詞-一般	漢語
18255	有力	ユウリョク	4.中級後半	ナ形容詞	形状詞-一般	漢語
18256	有力者	ユウリョクシャ	5.上級前半	ナ形容詞	形状詞-一般 and 接尾辞-名詞的-一般	漢語
18257	幽霊	ユウレイ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
18258	優劣	ユウレツ	5.上級前半	名詞	名詞-普通名詞-一般	漢語
18259	誘惑	ユウワク	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
18260	故	ユエ	5.上級前半	名詞	名詞-普通名詞-副詞可能	和語
18261	故に	ユエニ	5.上級前半	接続詞	名詞-普通名詞-副詞可能 and 助詞-格助詞	和語
18262	床	ユカ	3.中級前半	名詞	名詞-普通名詞-一般	和語
18263	愉快	ユカイ	4.中級後半	名詞	名詞-普通名詞-形状詞可能	漢語
18264	床下	ユカシタ	5.上級前半	名詞	名詞-普通名詞-一般	和語
18265	浴衣	ユカタ	4.中級後半	名詞	名詞-普通名詞-一般	和語
18266	ゆがみ	ユガミ	5.上級前半	名詞	名詞-普通名詞-一般	和語
18267	ゆがむ	ユガム	5.上級前半	動詞1類	動詞-一般	和語
18268	ゆかり	ユカリ	6.上級後半	名詞	名詞-普通名詞-一般	和語
18269	雪	ユキ	1.初級前半	名詞	名詞-普通名詞-一般	和語
18272	雪下ろし	ユキオロシ	4.中級後半	名詞	名詞-普通名詞-一般	和語
18273	雪女	ユキオンナ	5.上級前半	名詞	名詞-普通名詞-一般	和語
18274	雪国	ユキグニ	4.中級後半	名詞	名詞-普通名詞-一般	和語
18275	行き過ぎる	ユキスギル	4.中級後半	動詞2類	動詞-一般	和語
18276	雪解け	ユキドケ	5.上級前半	名詞	名詞-普通名詞-一般	和語
18277	行き場	ユキバ	4.中級後半	名詞	名詞-普通名詞-一般	和語
18278	雪祭り	ユキマツリ	4.中級後半	名詞	名詞-普通名詞-一般	和語
18280	雪見	ユキミ	5.上級前半	名詞	名詞-普通名詞-一般	和語
18281	行方	ユクエ	4.中級後半	名詞	名詞-普通名詞-一般	和語
18282	行方不明	ユクエフメイ	4.中級後半	名詞	名詞-普通名詞-一般 and 名詞-普通名詞-形状詞可能	混種語
18283	行く末	ユクスエ	5.上級前半	名詞	名詞-普通名詞-一般	和語
18284	行く手	ユクテ	5.上級前半	名詞	名詞-普通名詞-一般	和語
695	ゆくゆく	ユクユク	6.上級後半	副詞	動詞-非自立可能 and 動詞-非自立可能	和語
18285	湯気	ユゲ	4.中級後半	名詞	名詞-普通名詞-一般	混種語
18286	輸血	ユケツ	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
18287	揺さぶる	ユサブル	5.上級前半	動詞1類	動詞-一般	和語
18288	油脂	ユシ	6.上級後半	名詞	名詞-普通名詞-一般	漢語
18289	輸出	ユシュツ	3.中級前半	名詞	名詞-普通名詞-サ変可能	漢語
18290	輸出入	ユシュツニュウ	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
18291	ゆず	ユズ	5.上級前半	名詞	名詞-普通名詞-一般	和語
18292	ゆすぐ	ユスグ	5.上級前半	動詞1類	動詞-一般	和語
18293	譲り	ユズリ	5.上級前半	名詞	名詞-普通名詞-一般	和語
18294	譲り受ける	ユズリウケル	5.上級前半	動詞2類	動詞-一般	和語
18295	譲り渡す	ユズリワタス	5.上級前半	動詞1類	動詞-一般	和語
18296	揺する	ユスル	5.上級前半	動詞1類	動詞-一般	和語
18297	譲る	ユズル	4.中級後半	動詞1類	動詞-一般	和語
18298	油性	ユセイ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
18299	輸送	ユソウ	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
18300	豊か	ユタカ	3.中級前半	ナ形容詞	形状詞-一般	和語
18301	ゆだねる	ユダネル	5.上級前半	動詞2類	動詞-一般	和語
18302	ユダヤ	ユダヤ	5.上級前半	名詞	名詞-固有名詞-一般	外来語
18303	ユダヤ教	ユダヤキョウ	5.上級前半	名詞	名詞-固有名詞-一般 and 接尾辞-名詞的-一般	混種語
18304	ユダヤ人	ユダヤジン	5.上級前半	名詞	名詞-固有名詞-一般 and 接尾辞-名詞的-一般	混種語
18305	油断	ユダン	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
18306	癒着	ユチャク	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
18307	ゆっくり	ユックリ	3.中級前半	動詞3類	副詞	和語
18309	ゆったり	ユッタリ	4.中級後半	動詞3類	副詞	和語
18310	ゆでる	ユデル	4.中級後半	動詞2類	動詞-一般	和語
18311	油田	ユデン	5.上級前半	名詞	名詞-普通名詞-一般	漢語
18312	湯通し	ユドオシ	6.上級後半	名詞	名詞-普通名詞-サ変可能	和語
18313	ゆとり	ユトリ	5.上級前半	名詞	名詞-普通名詞-一般	和語
18315	ユニーク	ユニーク	4.中級後半	ナ形容詞	形状詞-一般	外来語
18316	ユニセックス	ユニセックス	5.上級前半	名詞	名詞-普通名詞-一般	外来語
20099	ユニフォーム	ユニフォーム	5.上級前半	名詞	名詞-普通名詞-一般	外来語
18317	ユニホーム	ユニホーム	4.中級後半	名詞	名詞-普通名詞-一般	外来語
18318	輸入	ユニュウ	3.中級前半	名詞	名詞-普通名詞-サ変可能	漢語
18319	湯飲み	ユノミ	4.中級後半	名詞	名詞-普通名詞-一般	和語
18320	指	ユビ	2.初級後半	名詞	名詞-普通名詞-一般	和語
18321	指折り	ユビオリ	5.上級前半	名詞	名詞-普通名詞-一般	和語
18322	指折り数える	ユビオリカゾエル	5.上級前半	名詞	名詞-普通名詞-一般 and 動詞-一般	和語
18323	指先	ユビサキ	3.中級前半	名詞	名詞-普通名詞-一般	和語
18324	指差す	ユビサス	4.中級後半	動詞1類	動詞-一般	和語
18325	指輪	ユビワ	3.中級前半	名詞	名詞-普通名詞-一般	和語
18326	弓	ユミ	5.上級前半	名詞	名詞-普通名詞-一般	和語
18327	弓なり	ユミナリ	6.上級後半	名詞	名詞-普通名詞-一般	和語
18328	夢	ユメ	3.中級前半	名詞	名詞-普通名詞-一般	和語
18329	夢占い	ユメウラナイ	4.中級後半	名詞	名詞-普通名詞-一般	和語
18330	夢にも	ユメニモ	5.上級前半	副詞	名詞-普通名詞-一般 and 助詞-格助詞 and 助詞-係助詞	和語
18333	夢見る	ユメミル	4.中級後半	動詞2類	動詞-一般	和語
18334	由来	ユライ	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
18335	揺らぐ	ユラグ	5.上級前半	動詞1類	動詞-一般	和語
18336	揺らす	ユラス	5.上級前半	動詞1類	動詞-一般	和語
18337	ゆり	ユリ	5.上級前半	名詞	名詞-普通名詞-一般	和語
18338	緩い	ユルイ	4.中級後半	イ形容詞	形容詞-一般	和語
18339	許し	ユルシ	5.上級前半	名詞	名詞-普通名詞-一般	和語
18340	許す	ユルス	4.中級後半	動詞1類	動詞-一般	和語
18341	緩む	ユルム	5.上級前半	動詞1類	動詞-一般	和語
18342	緩める	ユルメル	5.上級前半	動詞2類	動詞-一般	和語
18343	緩やか	ユルヤカ	5.上級前半	ナ形容詞	形状詞-一般	和語
18344	揺れ	ユレ	4.中級後半	名詞	名詞-普通名詞-一般	和語
18345	揺れる	ユレル	4.中級後半	動詞2類	動詞-一般	和語
18346	世	ヨ	5.上級前半	名詞	名詞-普通名詞-一般	和語
18347	夜明け	ヨアケ	4.中級後半	名詞	名詞-普通名詞-一般	和語
18348	夜遊び	ヨアソビ	4.中級後半	名詞	名詞-普通名詞-サ変可能	和語
18349	良い	ヨイ	2.初級後半	イ形容詞	形容詞-非自立可能	和語
18352	良い	ヨイ	2.初級後半	イ形容詞	形容詞-一般	和語
18350	酔い	ヨイ	4.中級後半	名詞	名詞-普通名詞-一般	和語
18354	よいしょ	ヨイショ	4.中級後半	動詞3類	感動詞-一般	和語
18355	様	ヨウ	3.中級前半	ナ形容詞	形状詞-助動詞語幹	漢語
18356	用	ヨウ	3.中級前半	名詞	接尾辞-名詞的-一般	漢語
18362	酔う	ヨウ	3.中級前半	動詞1類	動詞-一般	和語
18363	用	ヨウ	3.中級前半	名詞	名詞-普通名詞-一般	漢語
18357	要	ヨウ	4.中級後半	接頭辞	接頭辞	漢語
18358	洋	ヨウ	4.中級後半	接頭辞	接尾辞-名詞的-一般	漢語
18359	様	ヨウ	4.中級後半	接尾辞	接尾辞-名詞的-一般	漢語
18360	要	ヨウ	4.中級後半	接頭辞	名詞-普通名詞-一般	漢語
18361	葉	ヨウ	5.上級前半	接尾辞	接尾辞-名詞的-一般	漢語
18364	洋	ヨウ	5.上級前半	接頭辞	名詞-普通名詞-一般	漢語
18365	葉	ヨウ	5.上級前半	接尾辞	接尾辞-名詞的-助数詞	漢語
18366	用意	ヨウイ	3.中級前半	名詞	名詞-普通名詞-サ変可能	漢語
18367	容易	ヨウイ	4.中級後半	ナ形容詞	形状詞-一般	漢語
18368	養育	ヨウイク	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
18369	用意周到	ヨウイシュウトウ	5.上級前半	名詞	名詞-普通名詞-サ変可能 and 形状詞-一般	漢語
18370	要因	ヨウイン	5.上級前半	名詞	名詞-普通名詞-一般	漢語
18371	溶液	ヨウエキ	6.上級後半	名詞	名詞-普通名詞-一般	漢語
17982	八日	ヨウカ	1.初級前半	名詞	名詞-数詞 and 接尾辞-名詞的-助数詞	和語
18372	洋画	ヨウガ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
18373	溶解	ヨウカイ	6.上級後半	名詞	名詞-普通名詞-サ変可能	漢語
18374	妖怪	ヨウカイ	6.上級後半	名詞	名詞-普通名詞-一般	漢語
18375	洋楽	ヨウガク	4.中級後半	名詞	名詞-普通名詞-一般	漢語
18376	洋傘	ヨウガサ	6.上級後半	名詞	名詞-普通名詞-一般	混種語
18377	洋館	ヨウカン	5.上級前半	名詞	名詞-普通名詞-一般	漢語
18378	溶岩	ヨウガン	5.上級前半	名詞	名詞-普通名詞-一般	漢語
18379	容器	ヨウキ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
18380	陽気	ヨウキ	4.中級後半	名詞	形状詞-一般	漢語
18381	容疑	ヨウギ	5.上級前半	名詞	名詞-普通名詞-一般	漢語
18382	容疑者	ヨウギシャ	5.上級前半	名詞	名詞-普通名詞-一般 and 接尾辞-名詞的-一般	漢語
18383	要求	ヨウキュウ	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
18385	用具	ヨウグ	4.中級後半	名詞	接尾辞-名詞的-一般 and 接尾辞-名詞的-一般	漢語
18387	用件	ヨウケン	4.中級後半	名詞	名詞-普通名詞-一般	漢語
18386	要件	ヨウケン	5.上級前半	名詞	名詞-普通名詞-一般	漢語
18388	用語	ヨウゴ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
18389	養護	ヨウゴ	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
18390	要項	ヨウコウ	5.上級前半	名詞	名詞-普通名詞-一般	漢語
18391	養護学校	ヨウゴガッコウ	5.上級前半	名詞	名詞-普通名詞-サ変可能 and 名詞-普通名詞-一般	漢語
18392	洋裁	ヨウサイ	6.上級後半	名詞	名詞-普通名詞-一般	漢語
18393	用紙	ヨウシ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
18394	用紙	ヨウシ	4.中級後半	名詞	接尾辞-名詞的-一般 and 接尾辞-名詞的-一般	漢語
18395	容姿	ヨウシ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
18396	養子	ヨウシ	5.上級前半	名詞	名詞-普通名詞-一般	漢語
18397	用事	ヨウジ	3.中級前半	名詞	名詞-普通名詞-一般	漢語
18398	幼児	ヨウジ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
18399	養子縁組	ヨウシエングミ	5.上級前半	名詞	名詞-普通名詞-一般 and 名詞-普通名詞-サ変可能	混種語
18401	洋式	ヨウシキ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
18400	様式	ヨウシキ	5.上級前半	名詞	名詞-普通名詞-一般	漢語
18402	洋室	ヨウシツ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
18403	容赦	ヨウシャ	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
18404	洋書	ヨウショ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
18405	養女	ヨウジョ	6.上級後半	名詞	名詞-普通名詞-一般	漢語
18406	幼少	ヨウショウ	5.上級前半	名詞	名詞-普通名詞-一般	漢語
18408	洋食	ヨウショク	4.中級後半	名詞	名詞-普通名詞-一般	漢語
18407	養殖	ヨウショク	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
18409	用心	ヨウジン	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
18410	要人	ヨウジン	5.上級前半	名詞	名詞-普通名詞-一般	漢語
18411	様子	ヨウス	4.中級後半	名詞	名詞-普通名詞-一般	漢語
18412	要する	ヨウスル	5.上級前半	動詞3類	動詞-一般	混種語
18413	要するに	ヨウスルニ	5.上級前半	副詞	動詞-一般 and 助詞-格助詞	混種語
18414	養成	ヨウセイ	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
18416	要請	ヨウセイ	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
18417	妖精	ヨウセイ	5.上級前半	名詞	名詞-普通名詞-一般	漢語
18418	容積	ヨウセキ	5.上級前半	名詞	名詞-普通名詞-一般	漢語
18419	要素	ヨウソ	5.上級前半	名詞	名詞-普通名詞-一般	漢語
18420	様相	ヨウソウ	5.上級前半	名詞	名詞-普通名詞-一般	漢語
18421	幼稚	ヨウチ	4.中級後半	ナ形容詞	形状詞-一般	漢語
18422	用地	ヨウチ	5.上級前半	名詞	名詞-普通名詞-一般	漢語
18423	幼稚園	ヨウチエン	4.中級後半	名詞	形状詞-一般 and 接尾辞-名詞的-一般	漢語
18424	幼虫	ヨウチュウ	5.上級前半	名詞	名詞-普通名詞-一般	漢語
18425	要注意	ヨウチュウイ	4.中級後半	名詞	接頭辞 and 名詞-普通名詞-サ変可能	漢語
18426	腰痛	ヨウツウ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
18427	要点	ヨウテン	4.中級後半	名詞	名詞-普通名詞-一般	漢語
18428	用途	ヨウト	5.上級前半	名詞	名詞-普通名詞-一般	漢語
18429	養豚	ヨウトン	5.上級前半	名詞	名詞-普通名詞-一般	漢語
18430	容認	ヨウニン	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
18431	要は	ヨウハ	5.上級前半	副詞	名詞-普通名詞-一般 and 助詞-係助詞	混種語
18432	曜日	ヨウビ	2.初級後半	名詞	名詞-普通名詞-一般	混種語
18433	用品	ヨウヒン	4.中級後半	接尾辞	名詞-普通名詞-一般	漢語
18434	用品	ヨウヒン	4.中級後半	接尾辞	接尾辞-名詞的-一般 and 接尾辞-名詞的-一般	漢語
18435	洋品	ヨウヒン	5.上級前半	名詞	名詞-普通名詞-一般	漢語
18436	洋風	ヨウフウ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
18437	洋服	ヨウフク	2.初級後半	名詞	名詞-普通名詞-一般	漢語
18438	養分	ヨウブン	5.上級前半	名詞	名詞-普通名詞-一般	漢語
18439	用法	ヨウホウ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
18440	要望	ヨウボウ	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
18441	洋間	ヨウマ	5.上級前半	名詞	名詞-普通名詞-一般	混種語
18442	ようやく	ヨウヤク	4.中級後半	副詞	副詞	和語
18444	要約	ヨウヤク	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
18445	容量	ヨウリョウ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
18446	要領	ヨウリョウ	5.上級前半	名詞	名詞-普通名詞-一般	漢語
18447	ヨーグルト	ヨーグルト	3.中級前半	名詞	名詞-普通名詞-一般	外来語
18449	ヨーロッパ	ヨーロッパ	2.初級後半	名詞	名詞-固有名詞-地名-一般	外来語
18450	余暇	ヨカ	5.上級前半	名詞	名詞-普通名詞-一般	漢語
18451	夜風	ヨカゼ	4.中級後半	名詞	名詞-普通名詞-一般	和語
18452	予感	ヨカン	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
18453	予期	ヨキ	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
18454	余興	ヨキョウ	5.上級前半	名詞	名詞-普通名詞-一般	漢語
18455	よぎる	ヨギル	6.上級後半	動詞1類	動詞-一般	和語
18456	預金	ヨキン	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
18458	良く	ヨク	2.初級後半	副詞	副詞	和語
18460	翌	ヨク	4.中級後半	接頭辞	接頭辞	漢語
18461	欲	ヨク	4.中級後半	名詞	名詞-普通名詞-一般	漢語
18459	浴	ヨク	5.上級前半	接尾辞	接尾辞-名詞的-一般	漢語
18462	翼	ヨク	6.上級後半	名詞	名詞-普通名詞-一般	漢語
18463	翌朝	ヨクアサ	4.中級後半	名詞	名詞-普通名詞-副詞可能	混種語
18464	翌月	ヨクゲツ	4.中級後半	名詞	名詞-普通名詞-副詞可能	漢語
18465	抑止	ヨクシ	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
18466	浴室	ヨクシツ	4.中級後半	名詞	名詞-普通名詞-一般	漢語
18467	翌日	ヨクジツ	4.中級後半	名詞	名詞-普通名詞-副詞可能	漢語
18468	翌週	ヨクシュウ	4.中級後半	名詞	名詞-普通名詞-副詞可能	漢語
18469	浴場	ヨクジョウ	5.上級前半	接尾辞	接尾辞-名詞的-一般 and 接尾辞-名詞的-一般	漢語
18470	抑制	ヨクセイ	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
18471	浴槽	ヨクソウ	5.上級前半	名詞	名詞-普通名詞-一般	漢語
18472	翌朝	ヨクチョウ	4.中級後半	名詞	名詞-普通名詞-副詞可能	漢語
18473	翌年	ヨクネン	4.中級後半	名詞	名詞-普通名詞-副詞可能	漢語
18474	欲張り	ヨクバリ	4.中級後半	名詞	名詞-普通名詞-形状詞可能	混種語
18475	欲張り	ヨクバリ	4.中級後半	名詞	形状詞-一般	混種語
18476	欲張る	ヨクバル	4.中級後半	動詞1類	動詞-一般	混種語
18477	欲望	ヨクボウ	5.上級前半	名詞	名詞-普通名詞-一般	漢語
18478	よくよく	ヨクヨク	5.上級前半	副詞	副詞	和語
18479	翌々	ヨクヨク	5.上級前半	接頭辞	接頭辞	漢語
18480	余計	ヨケイ	4.中級後半	ナ形容詞	副詞	漢語
18481	余計	ヨケイ	4.中級後半	ナ形容詞	形状詞-一般	漢語
18482	よける	ヨケル	4.中級後半	動詞2類	動詞-一般	和語
18483	予言	ヨゲン	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
18484	横	ヨコ	2.初級後半	名詞	名詞-普通名詞-一般	和語
18485	横顔	ヨコガオ	4.中級後半	名詞	名詞-普通名詞-一般	和語
18486	横書き	ヨコガキ	3.中級前半	名詞	名詞-普通名詞-一般	和語
18487	横切る	ヨコギル	4.中級後半	動詞1類	動詞-一般	和語
18488	予告	ヨコク	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
18489	横じま	ヨコジマ	5.上級前半	名詞	名詞-普通名詞-一般	和語
18490	汚す	ヨゴス	3.中級前半	動詞1類	動詞-一般	和語
18491	横たわる	ヨコタワル	4.中級後半	動詞1類	動詞-一般	和語
18493	横綱	ヨコヅナ	5.上級前半	名詞	名詞-普通名詞-一般	和語
18494	横取り	ヨコドリ	6.上級後半	名詞	名詞-普通名詞-一般	和語
18495	横長	ヨコナガ	4.中級後半	名詞・ナ形容詞	形状詞-一般	和語
18496	横殴り	ヨコナグリ	6.上級後半	名詞	名詞-普通名詞-一般	和語
18497	横幅	ヨコハバ	5.上級前半	名詞	名詞-普通名詞-一般	和語
18498	横向き	ヨコムキ	4.中級後半	名詞	名詞-普通名詞-一般	和語
18499	横目	ヨコメ	5.上級前半	名詞	名詞-普通名詞-一般	和語
18500	汚れ	ヨゴレ	3.中級前半	名詞	名詞-普通名詞-一般	和語
18501	汚れる	ヨゴレル	3.中級前半	動詞2類	動詞-一般	和語
18502	予算	ヨサン	4.中級後半	名詞	名詞-普通名詞-一般	漢語
18503	良し	ヨシ	4.中級後半	名詞	名詞-普通名詞-一般	和語
18504	よし	ヨシ	4.中級後半	感動詞	感動詞-一般	和語
18506	善しあし	ヨシアシ	5.上級前半	名詞	名詞-普通名詞-一般	和語
18507	予習	ヨシュウ	3.中級前半	名詞	名詞-普通名詞-サ変可能	漢語
18508	よしよし	ヨシヨシ	5.上級前半	感動詞	感動詞-一般 and 感動詞-一般	和語
18509	よす	ヨス	4.中級後半	動詞1類	動詞-一般	和語
18511	寄席	ヨセ	6.上級後半	名詞	名詞-普通名詞-一般	和語
18512	余生	ヨセイ	5.上級前半	名詞	名詞-普通名詞-一般	漢語
18513	寄せ付ける	ヨセツケル	5.上級前半	動詞2類	動詞-一般	和語
18514	寄せ鍋	ヨセナベ	5.上級前半	名詞	名詞-普通名詞-一般	和語
18515	寄せる	ヨセル	4.中級後半	動詞2類	動詞-一般	和語
18516	予選	ヨセン	4.中級後半	名詞	名詞-普通名詞-一般	漢語
18517	よそ	ヨソ	5.上級前半	名詞	名詞-普通名詞-一般	和語
18518	予想	ヨソウ	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
18519	装い	ヨソオイ	5.上級前半	名詞	名詞-普通名詞-一般	和語
18521	装う	ヨソオウ	5.上級前半	動詞1類	動詞-一般	和語
18522	予測	ヨソク	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
18523	夜空	ヨゾラ	3.中級前半	名詞	名詞-普通名詞-一般	和語
18524	よたよた	ヨタヨタ	5.上級前半	副詞	副詞	和語
18525	よだれ	ヨダレ	5.上級前半	名詞	名詞-普通名詞-一般	和語
18526	余談	ヨダン	5.上級前半	名詞	名詞-普通名詞-一般	漢語
18527	余地	ヨチ	5.上級前半	名詞	名詞-普通名詞-一般	漢語
18528	予知	ヨチ	5.上級前半	名詞	名詞-普通名詞-サ変可能	漢語
18530	預貯金	ヨチョキン	5.上級前半	名詞	名詞-普通名詞-一般	漢語
18531	よちよち	ヨチヨチ	5.上級前半	副詞	副詞	和語
18630	四日	ヨッカ	1.初級前半	名詞	名詞-数詞 and 接尾辞-名詞的-助数詞	和語
18532	四つ角	ヨツカド	4.中級後半	名詞	名詞-普通名詞-一般	和語
18533	欲求	ヨッキュウ	4.中級後半	名詞	名詞-普通名詞-サ変可能	漢語
